Accident Type,Date,Speed (Km),Simple Injuries,Severe Injuries,Death,Medium Injuries,Road Lanes,Road Surfuce Description,Vehicle Country,Driver Licensee Type,Road Type,Light,Weather,Road Proerties,Driver Mistake,City,Vehicle type,Number of Cars,Driver Age,Sex
Collision,2018-01-14 16:35,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,al-karak,Passengers vehicle (up to 9 seats),2,28,Unkown
Collision,2018-01-14 16:35,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,28,Male
Collision,2018-01-16 19:15,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,Amman,Truck,2,39,Male
Collision,2018-01-16 19:15,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,42,Male
Collision,2018-01-17 17:20,100,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,al-karak,Passenger and cargo vehicle,2,30,Male
Collision,2018-01-17 17:20,100,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,30,Male
Collision,2018-01-14 7:40,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,63,Male
Collision,2018-01-14 7:40,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-17 8:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Male
Collision,2018-01-17 8:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passenger and cargo vehicle,2,29,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3 auto,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,55,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,0,Unkown
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class4,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,40,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passenger and cargo vehicle,6,39,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passenger and cargo vehicle,6,0,Unkown
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Improper lane changes,Jerash,Truck,6,21,Unkown
Collision,2018-01-17 18:25,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,29,Unkown
Collision,2018-01-17 18:25,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Tailgating,Jerash,Passengers vehicle (up to 9 seats),2,22,Male
Run over,2018-01-17 11:37,50,1,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,night without enough light,clear,flat straight,Neglecting traffic safety precautions,Jerash,Truck,1,33,Male
Collision,2018-01-17 14:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Jerash,Truck,2,18,Unkown
Collision,2018-01-17 14:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,31,Male
Collision,2018-01-17 13:30,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,39,Male
Collision,2018-01-17 13:30,40,0,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Sharp curved,Jerash,Passengers Van or small bus (10 to 30 seats),2,54,Male
Collision,2018-01-14 16:15,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passenger and cargo vehicle,2,28,Male
Collision,2018-01-14 16:15,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passenger and cargo vehicle,2,37,Male
Collision,2018-01-16 3:10,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Improper lane changes,Amman,Passengers vehicle (up to 9 seats),3,25,Male
Collision,2018-01-16 3:10,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,58,Male
Collision,2018-01-16 3:10,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6b,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Trailer private use,3,30,Male
Collision,2018-01-14 15:56,60,0,0,0,0,Two ways with median island,dry,Jordan,class 6b,asphalt,day,clear,flat straight,Violation of traffic rules,Tafila,Trailer private use,2,33,Male
Collision,2018-01-14 15:56,60,0,0,0,0,Two ways with median island,dry,Jordan,class 6b,asphalt,day,clear,flat straight,Violation of traffic rules,Tafila,Trailer private use,2,36,Male
Collision,2018-01-16 9:15,40,0,0,0,0,Two ways,dry,Jordan,class5,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Tafila,Passenger and cargo vehicle,1,54,Male
Off-Road,2018-01-17 4:33,40,1,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Improper lane changes,Aqaba,Trailer private use,1,51,Male
Collision,2018-01-16 16:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,40,Male
Collision,2018-01-16 16:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Jerash,Truck,2,19,Unkown
Collision,2018-01-16 2:30,100,3,0,0,0,Two ways,dry,KSA,unkown driver,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Passengers vehicle (up to 9 seats),2,118,Unkown
Collision,2018-01-16 2:30,100,3,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Truck,2,118,Unkown
Collision,2018-01-15 14:17,40,0,0,0,0,One way,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Improper reversing,al-karak,Truck,2,21,Unkown
Collision,2018-01-15 14:17,40,0,0,0,0,One way,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Violation of traffic rules,al-karak,Passenger and cargo vehicle,2,20,Unkown
Collision,2018-01-16 12:00,40,0,0,0,0,One way,dry,Jordan,class 3,concrrete,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),1,57,Male
Collision,2018-01-14 13:00,80,0,0,0,0,Two ways with median island,wet,Jordan,class 3 auto,asphalt,day,rain,flat straight,Improper lane changes,Irbid,Passengers vehicle (up to 9 seats),2,59,Male
Collision,2018-01-14 13:00,80,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,21,Female
Collision,2018-01-17 18:05,30,0,0,0,0,Parking lot,dry,Jordan,class 3,asphalt,night without enough light,rain,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),1,61,Male
Collision,2018-01-14 11:14,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),2,51,Male
Collision,2018-01-14 11:14,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,27,Male
Collision,2018-01-14 16:47,30,0,0,0,0,Parking lot,dry,Jordan,class 3,asphalt,sunset,clear,flat straight,Improper reversing,Balqa,Passengers vehicle (up to 9 seats),1,28,Male
Collision,2018-01-15 7:33,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,night without enough light,clear,straight ramp,Tailgating,Zarqa,Truck,2,36,Male
Collision,2018-01-15 7:33,40,0,0,0,0,Two ways,dry,Jordan,class5,asphalt,night without enough light,clear,straight ramp,Violation of traffic rules,Zarqa,Truck,2,46,Male
Run over,2018-01-17 16:30,60,1,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),1,25,Male
Collision,2018-01-17 10:00,40,0,0,0,0,Public Parks,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-01-17 10:00,40,0,0,0,0,Public Parks,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),2,39,Male
Run over,2018-01-16 12:00,60,1,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),1,25,Male
Collision,2018-01-15 9:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6b,asphalt,day,clear,flat straight,Improper lane changes,Zarqa,Truck,2,42,Male
Collision,2018-01-15 9:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Passenger and cargo vehicle,2,21,Male
Collision,2018-01-14 12:48,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Passenger and cargo vehicle,2,0,Unkown
Collision,2018-01-14 12:48,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,Ajloun,Passenger and cargo vehicle,2,69,Male
Collision,2018-01-16 2:00,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Passengers vehicle (up to 9 seats),2,22,Male
Collision,2018-01-16 2:00,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Ajloun,Passengers vehicle (up to 9 seats),2,53,Male
Collision,2018-01-14 2:21,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Tailgating,Zarqa,Passengers vehicle (up to 9 seats),2,44,Male
Collision,2018-01-14 2:21,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Violation of traffic rules,Zarqa,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-01-16 8:49,100,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Amman,Passenger and cargo vehicle,2,53,Male
Collision,2018-01-16 8:49,100,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Tailgating,Amman,Passenger and cargo vehicle,2,25,Male
Collision,2018-01-14 10:44,60,1,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-01-14 10:44,60,1,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Passengers vehicle (up to 9 seats),2,60,Male
Collision,2018-01-14 1:46,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Passengers vehicle (up to 9 seats),2,23,Male
Collision,2018-01-14 1:46,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Loss of control,Ajloun,Passengers vehicle (up to 9 seats),2,38,Male
Collision,2018-01-16 16:05,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passenger and cargo vehicle,2,22,Unkown
Collision,2018-01-16 16:05,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Jerash,Passenger and cargo vehicle,2,23,Unkown
Collision,2018-01-15 16:30,60,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Improper lane changes,Jerash,Passenger and cargo vehicle,2,40,Male
Collision,2018-01-15 16:30,60,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,39,Male
Collision,2018-01-15 13:50,60,1,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Running a red light,Jerash,Passengers vehicle (up to 9 seats),2,43,Unkown
Collision,2018-01-15 13:50,60,1,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,33,Male
Collision,2018-01-15 15:05,80,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Jerash,Passengers vehicle (up to 9 seats),2,18,Unkown
Collision,2018-01-15 15:05,80,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,32,Male
Collision,2018-01-14 12:19,90,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Zarqa,Passengers vehicle (up to 9 seats),2,72,Male
Collision,2018-01-14 12:19,90,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Stopping in the lane and blocking traffic,Zarqa,Passengers vehicle (up to 9 seats),2,43,Male
Collision,2018-01-15 13:08,80,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Jerash,Passengers vehicle (up to 9 seats),2,38,Male
Collision,2018-01-15 13:08,80,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passenger and cargo vehicle,2,50,Male
Collision,2018-01-16 17:48,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Improper lane changes,Jerash,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-01-16 17:48,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Improper lane changes,Jerash,Passengers vehicle (up to 9 seats),2,39,Male
Collision,2018-01-16 17:39,60,1,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,Jerash,Passenger and cargo vehicle,1,21,Male
Collision,2018-01-16 13:40,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Jerash,Passengers vehicle (up to 9 seats),2,47,Male
Collision,2018-01-16 13:40,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passenger and cargo vehicle,2,41,Male
Collision,2018-01-16 9:00,90,0,0,0,0,Two ways,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Improper lane changes,Jerash,Passengers vehicle (up to 9 seats),2,42,Female
Collision,2018-01-16 9:00,90,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-01-14 8:30,50,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,54,Male
Collision,2018-01-14 8:30,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,0,Unkown
Collision,2018-01-14 8:30,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Unsafe turnaround,Amman,Passengers vehicle (up to 9 seats),3,118,Unkown
Collision,2018-01-14 8:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,51,Female
Collision,2018-01-14 8:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,28,Male
Collision,2018-01-14 12:45,40,0,0,0,0,Parking lot,dry,Jordan,class 2a,Dirt,day,clear,flat straight,Improper reversing,Mafraq,Construction\works vehicle,1,46,Male
Collision,2018-01-15 18:40,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-15 18:40,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Sharp curved,Amman,Passengers vehicle (up to 9 seats),2,65,Male
Collision,2018-01-14 9:22,60,0,0,0,0,Two ways with median island,wet,Jordan,class4,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,37,Male
Collision,2018-01-14 9:22,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,44,Male
Collision,2018-01-14 8:23,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3 auto,asphalt,day,rain,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,33,Female
Collision,2018-01-14 8:23,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,30,Female
Collision,2018-01-15 7:08,20,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,Amman,Passenger and cargo vehicle,1,65,Male
Collision,2018-01-14 10:20,60,0,0,0,0,Two ways,dry,Jordan,class 6a,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,al-karak,Truck,1,49,Male
Collision,2018-01-14 7:58,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,rain,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,24,Male
Collision,2018-01-14 7:58,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-01-14 11:00,50,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,37,Male
Collision,2018-01-14 11:00,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Improper reversing,Amman,Passengers vehicle (up to 9 seats),2,22,Male
Collision,2018-01-14 7:52,40,1,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,fog,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,24,Male
Collision,2018-01-14 7:52,40,1,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,fog,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,35,Female
Collision,2018-01-14 8:00,50,0,0,0,0,Two ways,wet,Jordan,class5,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,33,Male
Collision,2018-01-14 8:00,50,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,day,rain,flat straight,Running a stop sign,Amman,Passengers vehicle (up to 9 seats),2,20,Female
Collision,2018-01-14 8:00,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,0,Unkown
Collision,2018-01-14 8:00,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Violation of traffic rules,Amman,Passenger and cargo vehicle,3,37,Male
Collision,2018-01-14 8:00,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,rain,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),3,30,Female
Collision,2018-01-14 7:49,60,0,0,0,0,One way,wet,Jordan,class5,asphalt,night with enough light,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,28,Male
Collision,2018-01-14 7:49,60,0,0,0,0,One way,wet,Jordan,class 3,asphalt,night with enough light,rain,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,59,Male
Collision,2018-01-14 7:52,60,0,0,0,0,Two ways with median island,wet,Jordan,class4,asphalt,night with enough light,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,27,Male
Collision,2018-01-14 7:52,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,27,Male
Collision,2018-01-14 12:05,50,0,0,0,0,Two ways,dry,Jordan,class 6b,asphalt,day,clear,curved ramp,Neglecting traffic safety precautions,Amman,Truck,2,44,Male
Collision,2018-01-14 12:05,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,curved ramp,Violation of traffic rules,Amman,Truck,2,34,Male
Collision,2018-01-14 8:00,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,37,Female
Collision,2018-01-14 8:00,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Truck,2,40,Male
Collision,2018-01-14 7:07,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,24,Female
Collision,2018-01-14 7:07,40,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,49,Male
Collision,2018-01-14 9:27,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-14 9:27,60,0,0,0,0,Two ways with median island,wet,Jordan,class 3,asphalt,day,clear,Upright straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),2,23,Male
Collision,2018-01-17 5:32,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Improper lane changes,Zarqa,Passenger and cargo vehicle,2,46,Male
Collision,2018-01-17 5:32,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Zarqa,Passengers vehicle (up to 9 seats),2,19,Male
Collision,2018-01-16 12:15,70,0,0,0,0,Two ways,dry,Jordan,class5,asphalt,night with enough light,clear,Upright straight,Improper reversing,Irbid,Truck,2,37,Male
Collision,2018-01-16 12:15,70,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,48,Male
Collision,2018-01-14 8:11,60,0,0,0,0,Two ways with median island,dry,Jordan,class5,concrrete,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,59,Male
Collision,2018-01-14 8:11,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,concrrete,day,clear,flat straight,Tailgating,Irbid,Passenger and cargo vehicle,2,0,Male
Collision,2018-01-17 12:25,50,0,0,0,0,One way,dry,Jordan,class 3 auto,asphalt,night with enough light,clear,flat straight,Sharp curved,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-17 12:25,50,0,0,0,0,One way,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Motorcycle,2,22,Male
Collision,2018-01-16 7:38,40,0,0,0,0,One way,dry,Jordan,class 6a,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Truck,2,45,Male
Collision,2018-01-16 7:38,40,0,0,0,0,One way,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,25,Male
Collision,16-Jan-18,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Truck,2,0,Unkown
Collision,16-Jan-18,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,16-Jan-18,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passenger and cargo vehicle,2,0,Unkown
Collision,16-Jan-18,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Truck,2,24,Male
Collision,16-Jan-18,50,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,41,Male
Collision,16-Jan-18,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-16 20:00,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,25,Male
Collision,2018-01-16 20:00,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Improper reversing,Irbid,Truck,2,23,Male
Collision,2018-01-16 7:05,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,41,Male
Collision,2018-01-16 7:05,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,36,Female
Collision,2018-01-16 7:07,40,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,78,Male
Collision,2018-01-16 7:07,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-16 11:20,40,0,0,0,0,Two ways,dry,Jordan,class 6a,asphalt,night with enough light,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,39,Male
