Accident Type,Date,Speed (Km),Simple Injuries,Severe Injuries,Death,Medium Injuries,Road Lanes,Road Surfuce Description,Vehicle Country,Driver Licensee Type,Road Type,Light,Weather,Road Proerties,Driver Mistake,City,Vehicle type,Number of Cars,Driver Age,Sex
Collision,2018-03-09 16:00,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Mafraq,Truck,2,0,Unkown
Collision,2018-03-09 16:00,100,0,0,0,0,Two ways,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Violation of traffic rules,Mafraq,Passengers vehicle (up to 9 seats),2,28,Male
Collision,2018-03-09 16:00,100,0,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Improper lane changes,Mafraq,Passenger and cargo vehicle,2,39,Male
Collision,2018-02-09 14:30,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Mafraq,Passenger and cargo vehicle,2,38,Male
Collision,2018-02-09 14:30,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Mafraq,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-03-09 0:11,70,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Mafraq,Passengers vehicle (up to 9 seats),3,33,Male
Collision,2018-03-09 0:11,70,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Mafraq,Passenger and cargo vehicle,3,22,Male
Collision,2018-03-09 0:11,70,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Tailgating,Mafraq,Passengers vehicle (up to 9 seats),3,26,Male
Collision,2018-03-09 13:34,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Truck,2,24,Male
Collision,2018-03-09 13:34,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,19,Male
Collision,2018-02-09 14:15,80,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,al-karak,Truck,2,31,Male
Collision,2018-02-09 14:15,80,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,al-karak,Truck,2,30,Male
Collision,2018-02-09 16:10,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,al-karak,Vehicle for private use,2,21,Male
Collision,2018-02-09 16:10,50,0,0,0,0,Two ways,dry,Jordan,class 6b,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,al-karak,Truck,2,38,Male
Collision,2018-03-09 18:30,60,2,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Sharp curved,Tafila,Passengers vehicle (up to 9 seats),1,20,Male
Collision,2018-02-09 7:18,60,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Zarqa,Passengers Van or small bus (10 to 30 seats),2,48,Male
Collision,2018-02-09 7:18,60,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Passengers Van or small bus (10 to 30 seats),2,34,Male
Collision,2018-02-09 0:25,80,0,0,0,0,Two ways with median island,dry,Jordan,unkown driver,asphalt,day,clear,flat straight,Stopping in the lane and blocking traffic,Balqa,Passenger and cargo vehicle,3,30,Male
Collision,2018-02-09 0:25,80,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Balqa,Passengers vehicle (up to 9 seats),3,26,Male
Collision,2018-02-09 0:25,80,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Balqa,Passengers vehicle (up to 9 seats),3,62,Male
Collision,2018-01-09 0:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,Upright straight,Improper lane changes,Amman,Passengers vehicle (up to 9 seats),2,25,Male
Collision,2018-01-09 0:07,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,Upright straight,Improper lane changes,Amman,Passengers vehicle (up to 9 seats),2,24,Male
Collision,2018-01-09 14:40,60,0,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Improper reversing,Balqa,Passengers Van or small bus (10 to 30 seats),2,50,Male
Collision,2018-01-09 14:40,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Balqa,Passengers vehicle (up to 9 seats),2,33,Male
Collision,2018-03-09 13:44,80,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat curved,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,39,Male
Collision,2018-03-09 13:44,80,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat curved,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,44,Male
Collision,2018-04-09 23:15,70,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Improper lane changes,Mafraq,Passengers vehicle (up to 9 seats),2,67,Male
Collision,2018-04-09 23:15,70,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Mafraq,Passengers vehicle (up to 9 seats),2,45,Male
Collision,2018-01-09 13:05,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Balqa,Passengers vehicle (up to 9 seats),3,41,Male
Collision,2018-01-09 13:05,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Balqa,Passengers vehicle (up to 9 seats),3,47,Female
Collision,2018-01-09 13:05,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Balqa,Passengers vehicle (up to 9 seats),3,36,Female
Collision,2018-02-09 17:07,80,1,0,0,2,Two ways,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Ajloun,Vehicle for private use,2,44,Male
Collision,2018-02-09 17:07,80,1,0,0,2,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,Ajloun,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-01-09 13:16,60,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Open door while driving or parking,Amman,Passengers vehicle (up to 9 seats),2,44,Male
Collision,2018-01-09 13:16,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,41,Male
Collision,2018-02-09 10:28,40,0,0,0,0,Two ways with median island,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Improper lane changes,Zarqa,Passengers Van or small bus (10 to 30 seats),2,55,Male
Collision,2018-02-09 10:28,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Passengers vehicle (up to 9 seats),2,26,Male
Collision,2018-04-09 9:25,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Open door while driving or parking,al-karak,Passengers vehicle (up to 9 seats),2,32,Male
Collision,2018-04-09 9:25,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,42,Female
Collision,2018-03-09 2:20,60,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,48,Male
Collision,2018-03-09 2:20,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Irbid,Passengers vehicle (up to 9 seats),2,48,Male
Collision,2018-01-09 9:46,60,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passenger and cargo vehicle,2,35,Male
Collision,2018-01-09 9:46,60,0,0,0,0,Two ways,dry,Jordan,class7,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,50,Male
Collision,2018-01-09 6:51,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,27,Male
Collision,2018-01-09 6:51,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper reversing,Amman,Passenger and cargo vehicle,2,40,Male
Collision,2018-01-09 6:51,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers Van or small bus (10 to 30 seats),2,0,Unkown
Collision,2018-01-09 6:51,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,Amman,Truck,2,0,Male
